title,source_country,date,url,clean_text,headline_length_words,month
Filistin direnişinin sembol ismi Bergusinin İsrail hapishanesinde işkencelere maruz kaldığı belirtildi,Turkey,2026-04-15 03:30:00,https://www.aa.com.tr/tr/dunya/filistin-direnisinin-sembol-ismi-bergusinin-israil-hapishanesinde-iskencelere-maruz-kaldigi-belirtildi/3905815,filistin direnişinin sembol ismi bergusinin i srail hapishanesinde işkencelere maruz kaldığı belirtildi,12,2026-04
İspanyadan İsraile sert tepki ! ,Turkey,2026-03-15 21:00:00,https://www.kocaeligazetesi.com.tr/haber/27637853/ispanyadan-israile-sert-tepki,i spanyadan i sraile sert tepki,6,2026-03
Küresel Sumud Filosu Gazzeye doðru yola kýyor,Turkey,2026-04-12 08:15:00,https://www.aksam.com.tr/dunya/kuresel-sumud-filosu-gazzeye-dogru-yola-cikiyor/haber-1658086,küresel sumud filosu gazzeye doðru yola kýyor,7,2026-04
"Filistin Devlet Başkanı Abbas , tüm zorluklara rağmen Filistinlilerin sandık başına gitmesinden memnun",Turkey,2026-04-25 15:15:00,https://www.haberler.com/guncel/filistin-devlet-baskani-abbas-tum-zorluklara-19781332-haberi/,filistin devlet başkanı abbas tüm zorluklara rağmen filistinlilerin sandık başına gitmesinden memnun,12,2026-04
OPINION - Trump Gaza Plan : A blueprint for entrenching colonial power,Turkey,2026-03-02 14:00:00,https://www.aa.com.tr/en/opinion/opinion-trumps-gaza-plan-a-blueprint-for-entrenching-colonial-power/3842044,opinion trump gaza plan a blueprint for entrenching colonial power,10,2026-03
"Çinin BM Daimi Temsilcisi Büyükelçi Fu :  Filistin meselesi , Orta Doğu sorununun özü niteliğindedir  ",Turkey,2026-04-28 19:45:00,https://www.haberler.com/guncel/cin-in-bm-daimi-temsilcisi-buyukelci-fu-filistin-19788844-haberi/,çinin bm daimi temsilcisi büyükelçi fu filistin meselesi orta doğu sorununun özü niteliğindedir,13,2026-04
"Filistin topraklarını gasbeden İsrailliler , Batı Şeriada 2 kardeşi öldürdü 3 kişiyi yaraladı",Turkey,2026-03-02 13:15:00,https://www.haberler.com/guncel/israil-in-nablus-taki-saldirisinda-2-filistinli-kardes-hayatini-kaybetti-19616854-haberi/,filistin topraklarını gasbeden i srailliler batı şeriada 2 kardeşi öldürdü 3 kişiyi yaraladı,13,2026-03
"4 children , pregnant woman dead as Israel kills 8 in W . Bank , Gaza",Turkey,2026-03-15 14:30:00,https://www.dailysabah.com/world/mid-east/4-children-pregnant-woman-dead-as-israel-kills-8-in-w-bank-gaza,4 children pregnant woman dead as israel kills 8 in w bank gaza,13,2026-03
TBMM Başkanı Kurtulmuş : Ortadoğuda kalıcı huzurun yolu iki devletli siyasi ufkun hayata geçirilmesini gerektirmektedir,Turkey,2026-04-15 11:15:00,https://www.haberler.com/guncel/tbmm-baskani-kurtulmus-ortadogu-da-kalici-huzurun-19751607-haberi/,tbmm başkanı kurtulmuş ortadoğuda kalıcı huzurun yolu iki devletli siyasi ufkun hayata geçirilmesini gerektirmektedir,14,2026-04
İsrailin işkenceleri soykırım kapsamına alındı : Filistinliler gözaltında ölüyor,Turkey,2026-03-24 09:15:00,https://www.haber7.com/dunya/haber/3614425-israilin-iskenceleri-soykirim-kapsamina-alindi-filistinliler-gozaltinda-oluyor,i srailin işkenceleri soykırım kapsamına alındı filistinliler gözaltında ölüyor,9,2026-03
Filistin topraklarını gasbeden İsraillilerin Batı Şeriadaki saldırılarında 8 Filistinli yaralandı,Turkey,2026-03-22 22:00:00,https://www.haberler.com/guncel/israilli-saldirilarda-8-filistinli-yaralandi-19680075-haberi/,filistin topraklarını gasbeden i sraillilerin batı şeriadaki saldırılarında 8 filistinli yaralandı,11,2026-03
Hamas : Yerel seçimler tüm meşruiyetlerin yenilenmesi için olumlu bir adımdır,Turkey,2026-04-26 17:45:00,https://www.haksozhaber.net/hamas-yerel-secimler-tum-mesruiyetlerin-yenilenmesi-icin-olumlu-bir-adimdir-203882h.htm,hamas yerel seçimler tüm meşruiyetlerin yenilenmesi için olumlu bir adımdır,10,2026-04
Moscow concerned about halt in Palestinian peace efforts,Turkey,2026-04-10 23:15:00,https://aa.com.tr/en/middle-east/moscow-concerned-about-halt-in-palestinian-peace-efforts/3901556,moscow concerned about halt in palestinian peace efforts,8,2026-04
Sumud Filosu yeniden Gazzeye doğru yola çıktı,Turkey,2026-04-12 17:45:00,https://www.birgun.net/haber/sumud-filosu-yeniden-gazze-ye-dogru-yola-cikti-705354,sumud filosu yeniden gazzeye doğru yola çıktı,7,2026-04
